Date;Total phosphorus;Temperature;Ammonia nitrogen;Nirate nitrogen;Total nitrogen;pH;Alkalinity;Turbidity
3.8;0.03;5;0.05;0.98;1.37;8.33;136;2.4
1.3;0.02;6;0.05;1.17;1.62;8.26;132;2.9
1.4;0.02;15;0.03;1.09;1.46;8.64;124;3
1.4;0.03;17;0.07;1.61;1.94;8.66;114;5.7
6.1;0.04;25;0.15;1.4;1.81;8.35;102;2.7
1.6;0.03;29;0.13;1.11;1.74;8.39;91;5.7
7.5;0.02;29.5;0.12;0.45;1.63;8.52;112;5.6
1.7;0.03;30;0.13;0.53;1.03;8.54;114;6.1
8.8;0.03;29.5;0.17;0.28;0.84;8.26;100;9.1
1.8;0.04;28;0.13;0.19;0.71;8.28;90;6.7
1.8;0.03;26;0.18;0.14;0.63;8.56;89;5.7
1.8;0.06;25.5;0.04;0.13;0.57;8.88;84;5.6
9.5;0.04;25;0.14;0.08;0.64;8.55;92;6.1
1.9;0.04;24;0.05;0.09;0.51;9.06;93;9.1
10.10;0.04;18;0.1;0.13;0.54;8.76;98;7.7
1.10;0.05;15;0.1;0.49;1.05;8.55;118;8.7
1.10;0.04;12.5;0.09;0.84;1.36;8.58;118;8.5
11.7;0.05;10;0.11;1.19;1.78;8.43;132;6.1
1.11;0.03;4;0.13;1.34;1.86;8.42;130;4.2
1.12;0.02;2;0.06;1.94;2.94;8.36;142;1.5
1.12;0.03;1;0.06;2.05;2.42;8.42;144;2.9
1.2;0.02;1;0.03;1.97;2.12;8.46;140;2.1
1.2;0.01;2;0.07;1.63;2.04;8.4;142;1.44
1.3;0.01;7.5;0.05;1.62;2.11;8.36;150;3
4.3;0.02;10;0.04;1.55;1.94;8.38;139;1.9
1.4;0.01;17;0.06;1.23;1.59;8.44;126;2.6
5.9;0.02;21;0.12;1.07;1.52;8.66;112;2.2
1.5;0.02;22.5;0.05;1.98;2.32;9.09;80;1.3
1.5;0.02;25;0.05;0.96;1.34;8.38;96;2.1
1.6;0.01;27.5;0.16;0.94;1.53;7.96;128;5.7
1.6;0.04;29;0.12;0.8;1.28;8.42;110;4.4
7.10;0.03;30;0.16;0.58;1.13;8.28;106;3.5
1.7;0.03;29.5;0.15;0.54;1.02;8.4;106;5
1.7;0.06;30;0.11;0.45;0.63;8.49;105;5.5
1.7;0.05;29.5;0.14;0.27;0.68;8.49;95;9.2
8.7;0.05;29.5;0.06;0.03;0.36;8.74;85;14
1.8;0.04;28;0.02;0.01;0.34;9;82;13
1.8;0.04;26;0.04;0.02;0.45;8.54;86;7.7
1.8;0.03;25.5;0.02;0.01;0.33;8.5;87;4.8
9.4;0.04;25;0.04;0.01;0.49;8.36;92;7.7
1.9;0.05;25;0.15;0.01;0.53;8.45;94;8.9
1.9;0.04;21.5;0.02;0.01;0.5;8.78;96;8.9
10.11;0.02;18;0.15;2.65;1.99;8.51;128;4.2
1.10;0.03;17;0.22;0.31;0.86;8.6;106;5.3
1.10;0.02;15;0.27;0.52;0.85;8.43;114;4.3
1.10;0.03;12.5;0.23;0.59;1.31;8.3;117;2.8
1.11;0.02;7;0.14;1.25;1.7;8.28;132;2.6
1.11;0.03;4;0.16;1.39;1.92;8.28;137;4.2
12.11;0.01;2;0.12;1.49;2.02;8.3;139;2.4
1.12;0.02;1;0.1;1.47;1.89;8.28;142;1.9
1.1;0.02;0.5;0.09;1.79;2.11;8.29;150;1.4
1.2;0.01;1.5;0.03;1.46;1.98;8.2;147;2
3.11;0.03;4.5;0.02;1.34;1.69;8.28;140;3
1.3;0.03;8;0.05;1.3;1.44;8.29;136;2.7
1.4;0.01;13.5;0.02;0.81;1.15;8.34;117;2.8
1.4;0.02;16;0.02;0.72;1.07;8.66;93;5.8
1.4;0.03;17.5;0.02;0.7;0.96;8.68;91;3.4
1.5;0.02;22;0.02;0.86;1.2;8.74;87;1.6
1.5;0.02;24;0.02;0.79;1.16;8.83;82;1.6
1.5;0.02;24.5;0.12;0.92;0.84;8.41;96;2.8
1.6;0.02;27.5;0.22;0.8;1.44;8.24;103;5.2
7.1;0.01;29.5;0.31;1.01;1.65;8.56;98;8.6
1.7;0.04;30;0.25;0.66;1.31;8.57;97;4.9
1.7;0.04;30;0.36;0.43;1.28;8.04;101;8.1
1.7;0.08;30;0.42;0.3;1.01;8;100;8.8
8.12;0.03;29;0.2;0.38;0.87;8.54;88;8.9
1.8;0.04;25.5;0.13;0.4;0.95;8.7;100;6.6
9.2;0.03;25;0.23;0.59;1.19;8.42;103;5.9
1.9;0.04;24;0.17;1.02;1.58;8.64;102;8.2
1.9;0.05;21;0.13;1.06;1.58;8.65;106;6.9
1.10;0.04;17;0.21;1.4;1.94;8.54;116;4.2
1.10;0.03;16;0.2;1.33;1.87;8.4;113;4.4
1.10;0.01;13;0.3;1.26;2.01;8.35;112;2.3
12.2;0.03;2;0.37;1.54;2.52;8.15;126;3.1
1.12;0.01;1;0.35;2.16;2.78;8.19;128;1.5
1.12;0.01;0;0.27;2.64;2.75;8.23;131;1.9
