Date,Algae cell density,Total phosphorus,Temperature,Ammonia nitrogen,Nirate nitrogen,Total nitrogen,pH,Alkalinity,Turbidity
3/8,649,0.02,5,0.03,1.08,1.45,8.27,146,1.7
1/3,424,0.04,6,0.04,1.07,1.35,8.38,138,3.6
1/4,1994,0.03,15,0.04,0.35,0.74,9.51,72,5.3
1/4,1825,0.04,17,0.06,1.84,2,8.6,116,8.2
6/1,2558,0.05,25,0.05,1.43,1.3,8.51,94,3
1/6,3668,0.04,29,0.06,0.53,1.04,8.08,105,4.6
7/5,2942,0.05,29.5,0.03,0.55,1.7,8.16,113,7.1
1/7,3183,0.04,30,0.06,0.67,1.03,8.38,114,8.6
1/8,4259,0.06,28,0.02,0.5,0.86,8.26,98,12
1/8,3654,0.07,26,0.04,0.33,0.61,8.3,102,10
1/8,6947,0.06,25.5,0.06,0.24,0.43,8.5,97,12
9/5,4534,0.07,25,0.02,0.26,0.64,8.33,94,13
1/9,3220,0.05,24,0.04,0.24,0.71,8.52,95,12
1/9,3310,0.06,22,0.05,0.19,0.59,8.48,92,12
10/10,1911,0.04,18,0.05,0.08,0.42,8.32,119,7.3
1/10,3426,0.05,15,0.11,0.51,0.86,8.52,112,14
1/10,2702,0.05,12.5,0.04,0.72,1.11,8.45,120,10
1/11,754,0.03,4,0.08,1.42,1.78,8.31,140,5.7
1/12,837,0.03,2,0.04,1.82,2.68,8.27,147,1.9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
