Date,Algae cell density,Total phosphorus,Temperature,Ammonia nitrogen,Nirate nitrogen,Total nitrogen,pH,Alkalinity,Turbidity,Algae cell density norm
3/8,649,0,0.107142857,0.111111111,0.568181818,0.455752212,0.132867133,0.986666667,0,0.034493331
1/3,424,0.4,0.142857143,0.222222222,0.5625,0.411504425,0.20979021,0.88,0.154471545,0
1/4,1994,0.2,0.464285714,0.222222222,0.153409091,0.14159292,1,0,0.292682927,0.240686801
1/4,1825,0.4,0.535714286,0.444444444,1,0.699115044,0.363636364,0.586666667,0.528455285,0.214778476
6/1,2558,0.6,0.821428571,0.333333333,0.767045455,0.389380531,0.300699301,0.293333333,0.105691057,0.327150084
1/6,3668,0.4,0.964285714,0.444444444,0.255681818,0.274336283,0,0.44,0.235772358,0.497317185
7/5,2942,0.6,0.982142857,0.111111111,0.267045455,0.566371681,0.055944056,0.546666667,0.43902439,0.386018703
1/7,3183,0.4,1,0.444444444,0.335227273,0.269911504,0.20979021,0.56,0.56097561,0.422964893
1/8,4259,0.8,0.928571429,0,0.238636364,0.194690265,0.125874126,0.346666667,0.837398374,0.587919669
1/8,3654,1,0.857142857,0.222222222,0.142045455,0.084070796,0.153846154,0.4,0.674796748,0.495170934
1/8,6947,0.8,0.839285714,0.444444444,0.090909091,0.004424779,0.293706294,0.333333333,0.837398374,1
9/5,4534,1,0.821428571,0,0.102272727,0.097345133,0.174825175,0.293333333,0.918699187,0.630078185
1/9,3220,0.6,0.785714286,0.222222222,0.090909091,0.128318584,0.307692308,0.306666667,0.837398374,0.42863713
1/9,3310,0.8,0.714285714,0.333333333,0.0625,0.075221239,0.27972028,0.266666667,0.837398374,0.442434463
10/10,1911,0.4,0.571428571,0.333333333,0,0,0.167832168,0.626666667,0.455284553,0.227962594
1/10,3426,0.6,0.464285714,1,0.244318182,0.194690265,0.307692308,0.533333333,1,0.460217691
1/10,2702,0.6,0.375,0.222222222,0.363636364,0.305309735,0.258741259,0.64,0.674796748,0.349225816
1/11,754,0.2,0.071428571,0.666666667,0.761363636,0.601769912,0.160839161,0.906666667,0.325203252,0.050590219
1/12,837,0.2,0,0.222222222,0.988636364,1,0.132867133,1,0.016260163,0.063314426
